"run","KPI","pooled","separate","difference"
46,"Avg_Overtime_amount",0,0.000393318615904264,-0.000393318615904264
47,"Avg_Waiting_room_delay",0.032716150659397,0.0629007419938373,-0.0301845913344403
47,"Avg_Access_time_days",1.08274647887324,3.07922535211268,-1.99647887323944
47,"Fraction_overtime",0.00176056338028169,0.00528169014084507,-0.00352112676056338
47,"Avg_Overtime_amount",4.44494223409592e-05,0.000512715200642114,-0.000468265778301155
48,"Avg_Waiting_room_delay",0.0469572090180779,0.0934968216108726,-0.0465396125927947
48,"Avg_Access_time_days",1.05992509363296,2.7247191011236,-1.66479400749064
48,"Fraction_overtime",0.00374531835205993,0.00561797752808989,-0.00187265917602996
48,"Avg_Overtime_amount",0.00062059562938415,0.00258901571157638,-0.00196842008219223
49,"Avg_Waiting_room_delay",0.0338040535172006,0.0674502768159542,-0.0336462232987535
49,"Avg_Access_time_days",1.14162348877375,2.88255613126079,-1.74093264248705
49,"Fraction_overtime",0.00172711571675302,0.00863557858376511,-0.00690846286701209
49,"Avg_Overtime_amount",0.000448491945274507,0.00397691724404327,-0.00352842529876876
50,"Avg_Waiting_room_delay",0.0382050546356836,0.0744343150087791,-0.0362292603730955
50,"Avg_Access_time_days",1.29831144465291,2.35272045028143,-1.05440900562852
50,"Fraction_overtime",0.00375234521575985,0.00562851782363977,-0.00187617260787992
50,"Avg_Overtime_amount",0.00098601643884533,0.00142897925550908,-0.000442962816663753
51,"Avg_Waiting_room_delay",0.0446386305734753,0.0653310112288727,-0.0206923806553975
51,"Avg_Access_time_days",1.11367673179396,2.03019538188277,-0.91651865008881
51,"Fraction_overtime",0.00177619893428064,0.00355239786856128,-0.00177619893428064
51,"Avg_Overtime_amount",4.31433137415442e-06,0.00217447094395109,-0.00217015661257693
52,"Avg_Waiting_room_delay",0.0370775196414009,0.0584143195466889,-0.021336799905288
52,"Avg_Access_time_days",1.20065789473684,2.82401315789474,-1.62335526315789
52,"Fraction_overtime",0.00328947368421053,0.00328947368421053,0
52,"Avg_Overtime_amount",8.9125670948361e-05,0.00101399494189827,-0.000924869270949912
53,"Avg_Waiting_room_delay",0.0318272330121136,0.0643644898592585,-0.0325372568471448
53,"Avg_Access_time_days",1.19611021069692,2.47325769854133,-1.27714748784441
53,"Fraction_overtime",0.00162074554294976,0,0.00162074554294976
53,"Avg_Overtime_amount",0.000188593635451364,0,0.000188593635451364
54,"Avg_Waiting_room_delay",0.0360845514761619,0.0652974752546825,-0.0292129237785206
54,"Avg_Access_time_days",1.11498257839721,2.25087108013937,-1.13588850174216
54,"Fraction_overtime",0.00348432055749129,0.00174216027874564,0.00174216027874564
54,"Avg_Overtime_amount",0.000453070631287818,4.27857808065581e-05,0.00041028485048126
55,"Avg_Waiting_room_delay",0.041824972733843,0.0524355925547997,-0.0106106198209567
55,"Avg_Access_time_days",1.17616580310881,2.51813471502591,-1.3419689119171
55,"Fraction_overtime",0.00172711571675302,0.00172711571675302,0
55,"Avg_Overtime_amount",0.000455588613934781,0.000233229807760276,0.000222358806174506
56,"Avg_Waiting_room_delay",0.0412339642983427,0.071138905081007,-0.0299049407826643
56,"Avg_Access_time_days",1.09869646182495,2.48603351955307,-1.38733705772812
56,"Fraction_overtime",0.00186219739292365,0.00558659217877095,-0.0037243947858473
56,"Avg_Overtime_amount",0.000199847644170489,0.00448940861614154,-0.00428956097197106
57,"Avg_Waiting_room_delay",0.0498721863297601,0.0966843498910158,-0.0468121635612557
57,"Avg_Access_time_days",1.06028368794326,2.33333333333333,-1.27304964539007
57,"Fraction_overtime",0.00177304964539007,0.00531914893617021,-0.00354609929078014
57,"Avg_Overtime_amount",0.000271295835577038,0.00258369527878652,-0.00231239944320949
58,"Avg_Waiting_room_delay",0.0421417833171545,0.0656278239718043,-0.0234860406546498
58,"Avg_Access_time_days",1.06206896551724,2.33965517241379,-1.27758620689655
58,"Fraction_overtime",0.00172413793103448,0.00172413793103448,0
58,"Avg_Overtime_amount",0.000381084938888997,0.000291134924800978,8.99500140880188e-05
59,"Avg_Waiting_room_delay",0.0573224451975962,0.0906754582706202,-0.0333530130730239
59,"Avg_Access_time_days",1.04059040590406,2.07933579335793,-1.03874538745387
59,"Fraction_overtime",0,0,0
59,"Avg_Overtime_amount",0,0,0
60,"Avg_Waiting_room_delay",0.0410780436006841,0.0643548131586128,-0.0232767695579286
60,"Avg_Access_time_days",1.13368055555556,2.81076388888889,-1.67708333333333
60,"Fraction_overtime",0.00347222222222222,0.00520833333333333,-0.00173611111111111
60,"Avg_Overtime_amount",0.000381078499203127,0.00119298899283644,-0.000811910493633309
61,"Avg_Waiting_room_delay",0.0403031301335606,0.0515090353074631,-0.0112059051739025
61,"Avg_Access_time_days",1.29338103756708,2.92128801431127,-1.62790697674419
61,"Fraction_overtime",0.00178890876565295,0,0.00178890876565295
61,"Avg_Overtime_amount",4.25762270552596e-05,0,4.25762270552596e-05
62,"Avg_Waiting_room_delay",0.0505648199379006,0.0784038921308721,-0.0278390721929715
62,"Avg_Access_time_days",1.14827586206897,2.71724137931034,-1.56896551724138
62,"Fraction_overtime",0,0.00517241379310345,-0.00517241379310345
62,"Avg_Overtime_amount",0,0.0016843581098306,-0.0016843581098306
63,"Avg_Waiting_room_delay",0.0420498479526275,0.0529215507961657,-0.0108717028435382
63,"Avg_Access_time_days",1.05605786618445,1.82097649186257,-0.764918625678119
63,"Fraction_overtime",0.0054249547920434,0,0.0054249547920434
63,"Avg_Overtime_amount",0.000379961316591294,0,0.000379961316591294
64,"Avg_Waiting_room_delay",0.0402113955883669,0.0723831634148805,-0.0321717678265136
